date,unit_sales,onpromotion,unit_sales_log,is_outlier,year,month,day,day_of_week,unit_sales_7d_avg,is_holiday,dcoilwtico,lag_1,lag_6,lag_7,lag_8,lag_14,unit_sales_7d_std
2013-01-22,105237.36506684571,0.0,1.3940668864899421,177,2013,1,22,1,5.275011547903143,0,96.09,106719.19635906309,109561.18571566069,107677.58294267525,107095.90063208662,106891.60411910135,4793.610429920309
2013-01-23,106872.68388266016,0.0,1.3998702676150183,184,2013,1,23,2,5.256535903760915,0,95.06,105237.36506684571,107279.15368206223,109561.18571566069,107677.58294267525,107756.39406091941,4908.878721835675
2013-01-24,104745.29140352934,0.0,1.3894400785596954,169,2013,1,24,3,5.239122957565769,0,95.35,106872.68388266016,106013.94243193022,107279.15368206223,109561.18571566069,103535.54398296213,5167.033134190388
2013-01-25,108329.31521362884,0.0,1.4086749918663475,197,2013,1,25,4,5.255034422845866,0,95.15,104745.29140352934,116428.104946835,106013.94243193022,107279.15368206223,105617.37241141101,5022.77266369128
2013-01-26,114673.06278664211,0.0,1.4424290661124368,214,2013,1,26,5,5.242973603690633,0,95.15,108329.31521362884,116359.63220227687,116428.104946835,106013.94243193022,114102.17157343042,4632.936009782932
2013-01-27,115838.49058146312,0.0,1.44630999450582,216,2013,1,27,6,5.239392268161799,0,95.15,114673.06278664211,106719.19635906309,116359.63220227687,116428.104946835,119653.81799401363,4496.982271888582
2013-01-28,106786.28266105588,0.0,1.4040102544968214,175,2013,1,28,0,5.239853291705552,0,95.95,115838.49058146312,105237.36506684571,106719.19635906309,116359.63220227687,107095.90063208662,4491.587299592828
2013-01-29,105589.5870207784,0.0,1.397864850163353,173,2013,1,29,1,5.2422737949762075,0,97.62,106786.28266105588,106872.68388266016,105237.36506684571,106719.19635906309,107677.58294267525,4445.109491427146
2013-01-30,110841.65442912391,0.0,1.4148248459878972,197,2013,1,30,2,5.269548943732796,0,97.98,105589.5870207784,104745.29140352934,106872.68388266016,105237.36506684571,109561.18571566069,4384.770069260534
2013-01-31,107051.42123605608,0.0,1.412915841447385,177,2013,1,31,3,5.285396890573877,0,97.65,110841.65442912391,108329.31521362884,104745.29140352934,106872.68388266016,107279.15368206223,4037.0305084563006
2013-02-01,114410.59334664003,0.0,1.4480072961023895,203,2013,2,1,4,5.32718802098573,0,97.46,107051.42123605608,114673.06278664211,108329.31521362884,104745.29140352934,106013.94243193022,4295.567649850497
2013-02-02,125110.56260609473,0.0,1.5011564309993752,256,2013,2,2,5,5.398915527373018,0,97.46,114410.59334664003,115838.49058146312,114673.06278664211,108329.31521362884,116428.104946835,6906.028281257853
2013-02-03,123337.74825825599,0.0,1.4916672287931636,234,2013,2,3,6,5.450451150100367,0,97.46,125110.56260609473,106786.28266105588,115838.49058146312,114673.06278664211,116359.63220227687,8046.181986376862
2013-02-04,110557.28347557112,0.0,1.4304031848463028,183,2013,2,4,0,5.476365831747164,0,96.21,123337.74825825599,105589.5870207784,106786.28266105588,115838.49058146312,106719.19635906309,7653.7436302341475
2013-02-05,109055.62715731417,0.0,1.4224776935442478,182,2013,2,5,1,5.5001847941742215,0,96.68,110557.28347557112,110841.65442912391,105589.5870207784,106786.28266105588,105237.36506684571,7124.661233510345
2013-02-06,110728.83869564018,0.0,1.4246246627738222,192,2013,2,6,2,5.499409513562579,0,96.44,109055.62715731417,107051.42123605608,110841.65442912391,105589.5870207784,106872.68388266016,7134.009451946676
